f, RPR, RBV, F_last, Recl_last
782.216,0.829035,1.0447,0.0618345,319580
782.183,0.828953,1.04459,0.0618691,319428
782.141,0.82886,1.04448,0.0619084,319256
782.436,0.82877,1.04436,0.061946,319090
782.13,0.828834,1.04444,0.0619193,319208
782.111,0.828835,1.04445,0.0619188,319210
782.081,0.828863,1.04448,0.0619071,319261
782.04,0.828944,1.04458,0.061873,319411
782.273,0.829025,1.04469,0.0618388,319561
782.026,0.82897,1.04462,0.061862,319459
782.008,0.828964,1.04461,0.0618645,319448
781.981,0.828931,1.04457,0.0618782,319388
782.035,0.828894,1.04452,0.0618937,319319
781.967,0.828916,1.04455,0.0618848,319359
781.949,0.828897,1.04452,0.0618928,319324
781.924,0.828883,1.04451,0.0618987,319298
781.957,0.82887,1.04449,0.061904,319274
781.909,0.828877,1.0445,0.0619012,319287
781.895,0.828889,1.04451,0.0618961,319309
781.875,0.828915,1.04455,0.0618851,319357
781.879,0.828945,1.04458,0.0618723,319413
781.86,0.828932,1.04457,0.061878,319388
781.847,0.828937,1.04457,0.0618757,319398
781.829,0.828933,1.04457,0.0618775,319390
781.831,0.828921,1.04455,0.0618823,319369
781.815,0.828926,1.04456,0.0618803,319378
781.804,0.828915,1.04455,0.061885,319358
781.788,0.828899,1.04453,0.0618917,319328
781.789,0.828882,1.0445,0.0618989,319296
781.777,0.828889,1.04451,0.0618959,319310
781.767,0.82889,1.04452,0.0618954,319312
781.753,0.8289,1.04453,0.0618912,319330
781.756,0.828913,1.04454,0.0618856,319355
781.743,0.828908,1.04454,0.0618881,319344
781.735,0.828913,1.04454,0.0618856,319355
781.723,0.828919,1.04455,0.0618834,319365
781.724,0.82892,1.04455,0.0618827,319368
781.715,0.82892,1.04455,0.061883,319366
781.708,0.828915,1.04455,0.0618848,319358
781.698,0.828906,1.04454,0.0618886,319342
781.703,0.828894,1.04452,0.0618939,319318
781.691,0.8289,1.04453,0.0618914,319329
781.686,0.828897,1.04452,0.0618924,319325
781.679,0.828898,1.04452,0.0618922,319326
781.681,0.828899,1.04453,0.0618917,319328
781.674,0.828898,1.04453,0.061892,319327
781.67,0.828901,1.04453,0.0618908,319332
781.664,0.828905,1.04453,0.0618893,319339
781.667,0.828907,1.04454,0.0618882,319344
781.66,0.828906,1.04454,0.0618887,319341
781.658,0.828905,1.04453,0.0618892,319339
781.654,0.828902,1.04453,0.0618906,319333
781.656,0.828896,1.04452,0.061893,319322
781.652,0.828899,1.04453,0.0618919,319328
781.65,0.828897,1.04452,0.0618925,319325
781.648,0.828896,1.04452,0.0618929,319323
781.651,0.828894,1.04452,0.0618937,319320
781.647,0.828895,1.04452,0.0618933,319321
781.646,0.828896,1.04452,0.061893,319322
781.645,0.828897,1.04452,0.0618926,319325
781.646,0.828897,1.04452,0.0618926,319324
781.644,0.828897,1.04452,0.0618926,319324
781.644,0.828896,1.04452,0.0618927,319324
781.644,0.828896,1.04452,0.0618931,319322
781.644,0.828895,1.04452,0.0618935,319321
781.644,0.828894,1.04452,0.0618938,319319
781.644,0.828894,1.04452,0.0618938,319319
781.644,0.828894,1.04452,0.0618938,319319
781.624,0.82889,1.04452,0.0618938,319319
781.432,0.828852,1.04448,0.0618938,319317
780.235,0.828471,1.04415,0.0618938,319293
778.691,0.828095,1.04392,0.061892,318199
776.189,0.827615,1.04365,0.0618876,317362
771.857,0.826347,1.04384,0.0618839,315484
764.376,0.824913,1.04374,0.0618555,312820
754.126,0.82183,1.04244,0.0617763,307317
751.206,0.818018,1.04407,0.0617157,300425
748.408,0.818414,1.04449,0.061747,299850
745.39,0.819103,1.05247,0.0618316,300019
740.864,0.819521,1.0545,0.0618273,298388
734.698,0.819988,1.06346,0.0617887,295368
731.12,0.820312,1.07425,0.0616406,290172
732.261,0.819653,1.06939,0.0614809,285112
729.561,0.820026,1.07211,0.0615712,287964
727.489,0.819184,1.07583,0.0616234,285847
724.298,0.817431,1.07486,0.0616961,282044
719.19,0.814637,1.07411,0.0618284,276309
718.527,0.812123,1.08108,0.0621591,269505
716.385,0.813247,1.07771,0.062007,272609
713.883,0.812914,1.07935,0.0621202,269182
710.471,0.81287,1.08969,0.0622014,265764
705.391,0.812464,1.09293,0.0620997,259694
699.359,0.813382,1.11518,0.0622002,253390
699.55,0.811869,1.12097,0.0623422,245311
696.235,0.812618,1.118,0.0622719,249276
691.669,0.811378,1.11788,0.0625755,246195
689.373,0.810308,1.11722,0.0630867,243362
686.709,0.80881,1.11342,0.063225,240179
682.133,0.808088,1.11039,0.06362,239003
674.939,0.806052,1.10044,0.0642912,236321
679.681,0.804305,1.09141,0.0655837,233531
672.226,0.805393,1.09699,0.0647752,235266
667.548,0.804388,1.09437,0.0651453,232541
664.397,0.803532,1.09112,0.0656745,228157
668.614,0.803213,1.0984,0.0659043,223264
663.45,0.803435,1.09328,0.0657435,226675
661.767,0.803655,1.09628,0.0657727,225194
660.341,0.804067,1.10585,0.0655174,220951
657.878,0.804589,1.11172,0.0654319,218998
656.473,0.805919,1.1258,0.0653865,216988
653.968,0.805745,1.12787,0.0651864,215303
649.202,0.805775,1.13064,0.0651149,214369
641.265,0.805818,1.14077,0.0648163,211440
668.681,0.8058,1.16039,0.0642048,206169
639.148,0.805769,1.14563,0.0646597,210083
637.128,0.805303,1.14467,0.0646723,210546
634.111,0.804704,1.14604,0.064433,209495
631.928,0.805478,1.16247,0.0637679,206890
630.713,0.806443,1.17606,0.0633782,205672
630.317,0.807047,1.18459,0.063063,204640
629.81,0.807634,1.18928,0.0629504,204954
629.257,0.807852,1.19179,0.0628483,204868
628.401,0.808324,1.19546,0.0627591,205616
627.316,0.808803,1.20246,0.0624538,205509
626.553,0.809633,1.21108,0.0621277,208006
625.676,0.810819,1.22662,0.0615962,208846
625.113,0.813417,1.25604,0.0607657,209341
624.291,0.815073,1.27774,0.0601759,209624
623.48,0.817005,1.30806,0.0592731,212557
622.384,0.819121,1.34217,0.0582922,216764
621.617,0.819781,1.36236,0.0575674,225809
636.726,0.817449,1.36179,0.0578757,229060
621.563,0.819641,1.36204,0.057587,226014
621.541,0.819383,1.35924,0.0576901,225961
621.497,0.819032,1.35527,0.0578168,225978
621.459,0.818523,1.34967,0.0580526,225833
621.414,0.818539,1.34862,0.058213,224386
621.376,0.81849,1.34715,0.0583529,223050
621.321,0.818439,1.34657,0.0584475,222209
621.228,0.818478,1.34704,0.0584931,221888
621.143,0.81874,1.34979,0.0583123,223346
620.997,0.818816,1.35015,0.0581337,225741
620.769,0.819947,1.3633,0.0579838,222290
620.32,0.818836,1.35302,0.0581034,225678
618.052,0.807368,1.25397,0.0593142,262538
614.501,0.801404,1.22872,0.0639696,222768
609.481,0.793352,1.18747,0.0687162,198428
607.245,0.81931,1.39871,0.0555014,257438
603.559,0.823405,1.40532,0.0547719,259061
612.73,0.757682,1.00483,0.0827922,168888
602.758,0.809157,1.29959,0.0604553,233741
601.59,0.809353,1.30761,0.0605544,230947
599.43,0.810239,1.31498,0.0603737,231078
595.536,0.808278,1.29915,0.0617898,224224
589.305,0.812436,1.34169,0.0603789,228593
585.509,0.813528,1.32877,0.0624422,213606
581,0.808259,1.32912,0.0638494,212329
578.688,0.814447,1.37332,0.0609945,218062
575.97,0.814727,1.40199,0.0614195,211110
573.705,0.810799,1.38343,0.0637458,200124
571.398,0.80883,1.39162,0.065321,188734
569.954,0.811305,1.43208,0.0640375,189981
569.18,0.810403,1.41901,0.0637385,195404
568.224,0.810033,1.41835,0.0637895,196239
567.472,0.805748,1.38299,0.0650842,195875
566.81,0.803738,1.37365,0.0658387,195403
565.807,0.805361,1.38854,0.064811,202394
565.22,0.806926,1.41223,0.0631549,217633
564.605,0.80368,1.37883,0.0646142,214534
564.513,0.802637,1.35945,0.0651115,213221
564.346,0.80289,1.3625,0.0650028,213581
564.05,0.803564,1.36939,0.0647097,215054
563.566,0.804137,1.37764,0.0644916,216898
562.993,0.805968,1.39553,0.0639133,220378
562.773,0.807732,1.40696,0.0636126,221632
562.513,0.807213,1.40208,0.0639994,219836
562.163,0.806593,1.39431,0.0646022,216697
561.864,0.804886,1.37363,0.0660134,211481
561.659,0.806182,1.38269,0.0658128,210331
561.385,0.806161,1.37925,0.0662409,208220
561.142,0.807632,1.38689,0.0661831,207498
560.997,0.808444,1.39523,0.0659627,208335
560.899,0.807703,1.39154,0.0661802,208280
560.809,0.80871,1.40082,0.065615,212087
560.734,0.808459,1.39931,0.0656602,212416
560.638,0.808609,1.40034,0.0655886,213402
560.519,0.809219,1.4058,0.0651065,216897
560.423,0.8094,1.40585,0.065067,218878
560.332,0.808692,1.40019,0.0653158,218718
560.251,0.807931,1.39468,0.0660066,215521
560.188,0.807674,1.39302,0.0662771,214038
560.117,0.807472,1.39074,0.0666468,212147
560.061,0.806802,1.3863,0.0671966,209852
560,0.806296,1.38286,0.0674459,209964
559.936,0.805824,1.38407,0.067622,211303
559.904,0.806306,1.38947,0.0673646,212610
559.881,0.805979,1.39031,0.0673701,213496
559.86,0.80623,1.39633,0.067065,215445
559.848,0.806041,1.39647,0.06705,215757
559.837,0.805661,1.3948,0.0671893,215581
559.825,0.805372,1.39306,0.0673952,214231
559.811,0.805017,1.39049,0.0677236,212347
559.792,0.804862,1.38934,0.0680266,210227
559.782,0.804971,1.39139,0.0680456,209702
559.773,0.805433,1.39571,0.0678269,210292
559.767,0.805691,1.39917,0.0676482,211049
559.758,0.805914,1.40274,0.0674206,212250
559.747,0.806078,1.40539,0.0672672,212972
559.737,0.805907,1.40449,0.0672773,213040
559.731,0.805589,1.40172,0.0674714,212047
559.727,0.805328,1.39925,0.0675908,211409
559.724,0.804981,1.39639,0.0677941,210568
559.72,0.804896,1.39606,0.0678293,210492
559.715,0.80484,1.39679,0.0678135,210878
559.713,0.804928,1.39845,0.0677463,211541
559.71,0.805035,1.40028,0.0677139,211747
559.709,0.805046,1.40065,0.0677258,211839
559.707,0.805019,1.4005,0.0677726,211667
559.704,0.80494,1.39968,0.0678432,211497
559.699,0.804838,1.3984,0.0679203,211453
559.695,0.804766,1.39723,0.0679608,211637
559.691,0.804769,1.39684,0.0679471,211927
559.688,0.804807,1.39717,0.0679243,212013
559.685,0.804864,1.39808,0.0679064,211853
559.681,0.804915,1.39961,0.0679283,211256
559.676,0.804939,1.40147,0.0679875,210441
559.67,0.804926,1.40355,0.0680888,209529
559.664,0.80488,1.40555,0.0681887,208975
559.656,0.804834,1.40761,0.0682673,208872
559.649,0.804772,1.40896,0.0682865,209525
559.644,0.804723,1.40979,0.0682748,210387
559.64,0.804606,1.40955,0.0682808,211160
559.638,0.804476,1.409,0.0683182,211438
559.635,0.804315,1.40845,0.0684035,211295
559.634,0.804175,1.40756,0.0684976,210820
559.633,0.804119,1.40762,0.0685658,210407
559.632,0.804094,1.40735,0.0686172,210090
559.631,0.804141,1.40785,0.0686222,210103
559.63,0.804232,1.40839,0.0685937,210318
559.629,0.804304,1.40901,0.0685515,210649
559.629,0.804363,1.40935,0.0685214,210821
559.629,0.804394,1.40964,0.0685052,210909
559.628,0.804415,1.4097,0.0685006,210872
559.628,0.804424,1.40969,0.0685117,210733
559.627,0.804423,1.40943,0.0685226,210630
559.627,0.804419,1.40924,0.0685337,210581
559.627,0.804407,1.40896,0.0685375,210631
559.627,0.804388,1.40869,0.0685453,210689
559.627,0.804351,1.40829,0.068558,210765
559.627,0.804303,1.40786,0.0685767,210802
559.627,0.80426,1.40755,0.0685918,210811
559.626,0.80423,1.40739,0.0685984,210816
559.626,0.804217,1.4074,0.068592,210851
559.626,0.80423,1.4076,0.068567,210939
559.626,0.804272,1.40799,0.0685325,211038
559.626,0.804313,1.40832,0.0685057,211092
559.626,0.804344,1.40857,0.0684949,211058
559.626,0.804359,1.40873,0.0684966,210945
559.626,0.804353,1.4088,0.068515,210733
559.626,0.804324,1.40873,0.0685394,210532
559.626,0.804292,1.40862,0.0685572,210424
559.626,0.804267,1.40854,0.0685651,210406
559.626,0.804246,1.40849,0.068565,210456
559.626,0.804238,1.40851,0.0685554,210568
559.626,0.804241,1.40857,0.0685417,210689
559.626,0.80425,1.40862,0.0685303,210774
559.626,0.804256,1.40863,0.0685233,210821
