"","difRt","difBT","difBD","Rprom","BTprom","BDprom"
"Rlast_1991_2007",0.120609183239946,-0.820261933656958,-1.12056942194437,117410.823529412,1116762.35294118,556642.941176471
"Rlast_2008_2012",0.758436587557086,0.29433818169195,-0.110181048671526,427424,2880700,1063250
"Rlast_2013_2022",0.447802199271473,0.131597496635837,-0.0725994635185334,186980.1,2340850,1100504
"Rlast_2013_2021",0.473974994211885,0.144112239599171,-0.0813220637092045,196283.444444444,2375077.77777778,1091626.66666667
"Rlast_historico",0.44959981875442,-0.145300734405503,-0.464958024714341,187590.78125,1774905,805756.875
